;monument;count;year;month;id_month
1;colisee;485;2017;JANVIER;1
59;doges;259;2017;JANVIER;1
117;fontaine_de_trevi;1293;2017;JANVIER;1
175;pantheon;319;2017;JANVIER;1
233;piazza_san_marco;222;2017;JANVIER;1
291;pont_du_raltio;203;2017;JANVIER;1
2;colisee;404;2017;FEVRIER;2
60;doges;260;2017;FEVRIER;2
118;fontaine_de_trevi;1440;2017;FEVRIER;2
176;pantheon;154;2017;FEVRIER;2
234;piazza_san_marco;248;2017;FEVRIER;2
292;pont_du_raltio;193;2017;FEVRIER;2
3;colisee;499;2017;MARS;3
61;doges;341;2017;MARS;3
119;fontaine_de_trevi;2086;2017;MARS;3
177;pantheon;268;2017;MARS;3
235;piazza_san_marco;385;2017;MARS;3
293;pont_du_raltio;247;2017;MARS;3
4;colisee;1062;2017;AVRIL;4
62;doges;473;2017;AVRIL;4
120;fontaine_de_trevi;2249;2017;AVRIL;4
178;pantheon;402;2017;AVRIL;4
236;piazza_san_marco;547;2017;AVRIL;4
294;pont_du_raltio;306;2017;AVRIL;4
5;colisee;1811;2017;MAI;5
63;doges;382;2017;MAI;5
121;fontaine_de_trevi;2487;2017;MAI;5
179;pantheon;292;2017;MAI;5
237;piazza_san_marco;500;2017;MAI;5
295;pont_du_raltio;226;2017;MAI;5
6;colisee;1640;2017;JUIN;6
64;doges;290;2017;JUIN;6
122;fontaine_de_trevi;2044;2017;JUIN;6
180;pantheon;202;2017;JUIN;6
238;piazza_san_marco;434;2017;JUIN;6
296;pont_du_raltio;206;2017;JUIN;6
7;colisee;1823;2017;JUILLET;7
65;doges;264;2017;JUILLET;7
123;fontaine_de_trevi;2083;2017;JUILLET;7
181;pantheon;340;2017;JUILLET;7
239;piazza_san_marco;432;2017;JUILLET;7
297;pont_du_raltio;216;2017;JUILLET;7
8;colisee;1640;2017;AOUT;8
66;doges;162;2017;AOUT;8
124;fontaine_de_trevi;2012;2017;AOUT;8
182;pantheon;225;2017;AOUT;8
240;piazza_san_marco;408;2017;AOUT;8
298;pont_du_raltio;201;2017;AOUT;8
9;colisee;2023;2017;SEPTEMBRE;9
67;doges;378;2017;SEPTEMBRE;9
125;fontaine_de_trevi;2593;2017;SEPTEMBRE;9
183;pantheon;366;2017;SEPTEMBRE;9
241;piazza_san_marco;588;2017;SEPTEMBRE;9
299;pont_du_raltio;324;2017;SEPTEMBRE;9
10;colisee;1886;2017;OCTOBRE;10
68;doges;290;2017;OCTOBRE;10
126;fontaine_de_trevi;2471;2017;OCTOBRE;10
184;pantheon;353;2017;OCTOBRE;10
242;piazza_san_marco;463;2017;OCTOBRE;10
300;pont_du_raltio;257;2017;OCTOBRE;10
11;colisee;1407;2017;NOVEMBRE;11
69;doges;203;2017;NOVEMBRE;11
127;fontaine_de_trevi;1635;2017;NOVEMBRE;11
185;pantheon;268;2017;NOVEMBRE;11
243;piazza_san_marco;306;2017;NOVEMBRE;11
301;pont_du_raltio;174;2017;NOVEMBRE;11
12;colisee;1130;2017;DECEMBRE;12
70;doges;185;2017;DECEMBRE;12
128;fontaine_de_trevi;1248;2017;DECEMBRE;12
186;pantheon;344;2017;DECEMBRE;12
244;piazza_san_marco;237;2017;DECEMBRE;12
302;pont_du_raltio;127;2017;DECEMBRE;12
13;colisee;1121;2018;JANVIER;1
71;doges;224;2018;JANVIER;1
129;fontaine_de_trevi;1393;2018;JANVIER;1
187;pantheon;356;2018;JANVIER;1
245;piazza_san_marco;272;2018;JANVIER;1
303;pont_du_raltio;192;2018;JANVIER;1
14;colisee;1034;2018;FEVRIER;2
72;doges;178;2018;FEVRIER;2
130;fontaine_de_trevi;1347;2018;FEVRIER;2
188;pantheon;244;2018;FEVRIER;2
246;piazza_san_marco;238;2018;FEVRIER;2
304;pont_du_raltio;162;2018;FEVRIER;2
15;colisee;1360;2018;MARS;3
73;doges;305;2018;MARS;3
131;fontaine_de_trevi;1630;2018;MARS;3
189;pantheon;393;2018;MARS;3
247;piazza_san_marco;353;2018;MARS;3
305;pont_du_raltio;253;2018;MARS;3
16;colisee;1644;2018;AVRIL;4
74;doges;327;2018;AVRIL;4
132;fontaine_de_trevi;2033;2018;AVRIL;4
190;pantheon;604;2018;AVRIL;4
248;piazza_san_marco;394;2018;AVRIL;4
306;pont_du_raltio;270;2018;AVRIL;4
17;colisee;1449;2018;MAI;5
75;doges;310;2018;MAI;5
133;fontaine_de_trevi;2271;2018;MAI;5
191;pantheon;868;2018;MAI;5
249;piazza_san_marco;424;2018;MAI;5
307;pont_du_raltio;267;2018;MAI;5
18;colisee;942;2018;JUIN;6
76;doges;265;2018;JUIN;6
134;fontaine_de_trevi;1925;2018;JUIN;6
192;pantheon;745;2018;JUIN;6
250;piazza_san_marco;364;2018;JUIN;6
308;pont_du_raltio;228;2018;JUIN;6
19;colisee;935;2018;JUILLET;7
77;doges;266;2018;JUILLET;7
135;fontaine_de_trevi;1983;2018;JUILLET;7
193;pantheon;809;2018;JUILLET;7
251;piazza_san_marco;397;2018;JUILLET;7
309;pont_du_raltio;270;2018;JUILLET;7
20;colisee;1193;2018;AOUT;8
78;doges;208;2018;AOUT;8
136;fontaine_de_trevi;1747;2018;AOUT;8
194;pantheon;691;2018;AOUT;8
252;piazza_san_marco;351;2018;AOUT;8
310;pont_du_raltio;204;2018;AOUT;8
21;colisee;1594;2018;SEPTEMBRE;9
79;doges;317;2018;SEPTEMBRE;9
137;fontaine_de_trevi;2105;2018;SEPTEMBRE;9
195;pantheon;893;2018;SEPTEMBRE;9
253;piazza_san_marco;457;2018;SEPTEMBRE;9
311;pont_du_raltio;271;2018;SEPTEMBRE;9
22;colisee;2031;2018;OCTOBRE;10
80;doges;269;2018;OCTOBRE;10
138;fontaine_de_trevi;1865;2018;OCTOBRE;10
196;pantheon;832;2018;OCTOBRE;10
254;piazza_san_marco;389;2018;OCTOBRE;10
312;pont_du_raltio;266;2018;OCTOBRE;10
23;colisee;1387;2018;NOVEMBRE;11
81;doges;176;2018;NOVEMBRE;11
139;fontaine_de_trevi;1177;2018;NOVEMBRE;11
197;pantheon;593;2018;NOVEMBRE;11
255;piazza_san_marco;236;2018;NOVEMBRE;11
313;pont_du_raltio;154;2018;NOVEMBRE;11
24;colisee;983;2018;DECEMBRE;12
82;doges;95;2018;DECEMBRE;12
140;fontaine_de_trevi;819;2018;DECEMBRE;12
198;pantheon;404;2018;DECEMBRE;12
256;piazza_san_marco;136;2018;DECEMBRE;12
314;pont_du_raltio;101;2018;DECEMBRE;12
25;colisee;1084;2019;JANVIER;1
83;doges;126;2019;JANVIER;1
141;fontaine_de_trevi;984;2019;JANVIER;1
199;pantheon;495;2019;JANVIER;1
257;piazza_san_marco;147;2019;JANVIER;1
315;pont_du_raltio;133;2019;JANVIER;1
26;colisee;749;2019;FEVRIER;2
84;doges;90;2019;FEVRIER;2
142;fontaine_de_trevi;827;2019;FEVRIER;2
200;pantheon;366;2019;FEVRIER;2
258;piazza_san_marco;131;2019;FEVRIER;2
316;pont_du_raltio;95;2019;FEVRIER;2
27;colisee;891;2019;MARS;3
85;doges;209;2019;MARS;3
143;fontaine_de_trevi;1233;2019;MARS;3
201;pantheon;563;2019;MARS;3
259;piazza_san_marco;231;2019;MARS;3
317;pont_du_raltio;178;2019;MARS;3
28;colisee;1075;2019;AVRIL;4
86;doges;291;2019;AVRIL;4
144;fontaine_de_trevi;1323;2019;AVRIL;4
202;pantheon;666;2019;AVRIL;4
260;piazza_san_marco;278;2019;AVRIL;4
318;pont_du_raltio;193;2019;AVRIL;4
29;colisee;1087;2019;MAI;5
87;doges;232;2019;MAI;5
145;fontaine_de_trevi;1472;2019;MAI;5
203;pantheon;626;2019;MAI;5
261;piazza_san_marco;215;2019;MAI;5
319;pont_du_raltio;158;2019;MAI;5
30;colisee;967;2019;JUIN;6
88;doges;199;2019;JUIN;6
146;fontaine_de_trevi;1307;2019;JUIN;6
204;pantheon;503;2019;JUIN;6
262;piazza_san_marco;224;2019;JUIN;6
320;pont_du_raltio;149;2019;JUIN;6
31;colisee;1160;2019;JUILLET;7
89;doges;148;2019;JUILLET;7
147;fontaine_de_trevi;1295;2019;JUILLET;7
205;pantheon;468;2019;JUILLET;7
263;piazza_san_marco;241;2019;JUILLET;7
321;pont_du_raltio;150;2019;JUILLET;7
32;colisee;917;2019;AOUT;8
90;doges;148;2019;AOUT;8
148;fontaine_de_trevi;1094;2019;AOUT;8
206;pantheon;402;2019;AOUT;8
264;piazza_san_marco;184;2019;AOUT;8
322;pont_du_raltio;141;2019;AOUT;8
33;colisee;1083;2019;SEPTEMBRE;9
91;doges;210;2019;SEPTEMBRE;9
149;fontaine_de_trevi;1441;2019;SEPTEMBRE;9
207;pantheon;537;2019;SEPTEMBRE;9
265;piazza_san_marco;246;2019;SEPTEMBRE;9
323;pont_du_raltio;193;2019;SEPTEMBRE;9
34;colisee;1105;2019;OCTOBRE;10
92;doges;185;2019;OCTOBRE;10
150;fontaine_de_trevi;1418;2019;OCTOBRE;10
208;pantheon;526;2019;OCTOBRE;10
266;piazza_san_marco;209;2019;OCTOBRE;10
324;pont_du_raltio;140;2019;OCTOBRE;10
35;colisee;665;2019;NOVEMBRE;11
93;doges;98;2019;NOVEMBRE;11
151;fontaine_de_trevi;773;2019;NOVEMBRE;11
209;pantheon;300;2019;NOVEMBRE;11
267;piazza_san_marco;103;2019;NOVEMBRE;11
325;pont_du_raltio;87;2019;NOVEMBRE;11
36;colisee;486;2019;DECEMBRE;12
94;doges;63;2019;DECEMBRE;12
152;fontaine_de_trevi;510;2019;DECEMBRE;12
210;pantheon;225;2019;DECEMBRE;12
268;piazza_san_marco;65;2019;DECEMBRE;12
326;pont_du_raltio;43;2019;DECEMBRE;12
37;colisee;589;2020;JANVIER;1
95;doges;88;2020;JANVIER;1
153;fontaine_de_trevi;620;2020;JANVIER;1
211;pantheon;258;2020;JANVIER;1
269;piazza_san_marco;97;2020;JANVIER;1
327;pont_du_raltio;55;2020;JANVIER;1
38;colisee;467;2020;FEVRIER;2
96;doges;70;2020;FEVRIER;2
154;fontaine_de_trevi;526;2020;FEVRIER;2
212;pantheon;225;2020;FEVRIER;2
270;piazza_san_marco;96;2020;FEVRIER;2
328;pont_du_raltio;55;2020;FEVRIER;2
39;colisee;106;2020;MARS;3
97;doges;9;2020;MARS;3
155;fontaine_de_trevi;118;2020;MARS;3
213;pantheon;50;2020;MARS;3
271;piazza_san_marco;13;2020;MARS;3
329;pont_du_raltio;10;2020;MARS;3
40;colisee;14;2020;AVRIL;4
98;doges;1;2020;AVRIL;4
156;fontaine_de_trevi;8;2020;AVRIL;4
214;pantheon;2;2020;AVRIL;4
272;piazza_san_marco;2;2020;AVRIL;4
330;pont_du_raltio;23;2020;AVRIL;4
41;colisee;15;2020;MAI;5
99;doges;3;2020;MAI;5
157;fontaine_de_trevi;9;2020;MAI;5
215;pantheon;10;2020;MAI;5
273;piazza_san_marco;3;2020;MAI;5
331;pont_du_raltio;1;2020;MAI;5
42;colisee;38;2020;JUIN;6
100;doges;22;2020;JUIN;6
158;fontaine_de_trevi;33;2020;JUIN;6
216;pantheon;20;2020;JUIN;6
274;piazza_san_marco;23;2020;JUIN;6
332;pont_du_raltio;10;2020;JUIN;6
43;colisee;138;2020;JUILLET;7
101;doges;50;2020;JUILLET;7
159;fontaine_de_trevi;119;2020;JUILLET;7
217;pantheon;76;2020;JUILLET;7
275;piazza_san_marco;37;2020;JUILLET;7
333;pont_du_raltio;25;2020;JUILLET;7
44;colisee;190;2020;AOUT;8
102;doges;79;2020;AOUT;8
160;fontaine_de_trevi;149;2020;AOUT;8
218;pantheon;64;2020;AOUT;8
276;piazza_san_marco;49;2020;AOUT;8
334;pont_du_raltio;37;2020;AOUT;8
45;colisee;182;2020;SEPTEMBRE;9
103;doges;89;2020;SEPTEMBRE;9
161;fontaine_de_trevi;203;2020;SEPTEMBRE;9
219;pantheon;66;2020;SEPTEMBRE;9
277;piazza_san_marco;68;2020;SEPTEMBRE;9
335;pont_du_raltio;69;2020;SEPTEMBRE;9
46;colisee;137;2020;OCTOBRE;10
104;doges;36;2020;OCTOBRE;10
162;fontaine_de_trevi;90;2020;OCTOBRE;10
220;pantheon;43;2020;OCTOBRE;10
278;piazza_san_marco;23;2020;OCTOBRE;10
336;pont_du_raltio;24;2020;OCTOBRE;10
47;colisee;68;2020;NOVEMBRE;11
105;doges;1;2020;NOVEMBRE;11
163;fontaine_de_trevi;48;2020;NOVEMBRE;11
221;pantheon;26;2020;NOVEMBRE;11
279;piazza_san_marco;5;2020;NOVEMBRE;11
337;pont_du_raltio;4;2020;NOVEMBRE;11
48;colisee;19;2020;DECEMBRE;12
106;doges;1;2020;DECEMBRE;12
164;fontaine_de_trevi;11;2020;DECEMBRE;12
222;pantheon;8;2020;DECEMBRE;12
280;piazza_san_marco;1;2020;DECEMBRE;12
338;pont_du_raltio;1;2020;DECEMBRE;12
49;colisee;10;2021;JANVIER;1
107;doges;0;2021;JANVIER;1
165;fontaine_de_trevi;12;2021;JANVIER;1
223;pantheon;3;2021;JANVIER;1
281;piazza_san_marco;3;2021;JANVIER;1
339;pont_du_raltio;1;2021;JANVIER;1
50;colisee;22;2021;FEVRIER;2
108;doges;0;2021;FEVRIER;2
166;fontaine_de_trevi;13;2021;FEVRIER;2
224;pantheon;11;2021;FEVRIER;2
282;piazza_san_marco;5;2021;FEVRIER;2
340;pont_du_raltio;2;2021;FEVRIER;2
51;colisee;6;2021;MARS;3
109;doges;0;2021;MARS;3
167;fontaine_de_trevi;2;2021;MARS;3
225;pantheon;6;2021;MARS;3
283;piazza_san_marco;1;2021;MARS;3
341;pont_du_raltio;1;2021;MARS;3
52;colisee;6;2021;AVRIL;4
110;doges;0;2021;AVRIL;4
168;fontaine_de_trevi;10;2021;AVRIL;4
226;pantheon;3;2021;AVRIL;4
284;piazza_san_marco;6;2021;AVRIL;4
342;pont_du_raltio;1;2021;AVRIL;4
53;colisee;43;2021;MAI;5
111;doges;0;2021;MAI;5
169;fontaine_de_trevi;25;2021;MAI;5
227;pantheon;20;2021;MAI;5
285;piazza_san_marco;6;2021;MAI;5
343;pont_du_raltio;6;2021;MAI;5
54;colisee;56;2021;JUIN;6
112;doges;0;2021;JUIN;6
170;fontaine_de_trevi;42;2021;JUIN;6
228;pantheon;23;2021;JUIN;6
286;piazza_san_marco;21;2021;JUIN;6
344;pont_du_raltio;11;2021;JUIN;6
55;colisee;74;2021;JUILLET;7
113;doges;0;2021;JUILLET;7
171;fontaine_de_trevi;54;2021;JUILLET;7
229;pantheon;30;2021;JUILLET;7
287;piazza_san_marco;13;2021;JUILLET;7
345;pont_du_raltio;7;2021;JUILLET;7
56;colisee;75;2021;AOUT;8
114;doges;0;2021;AOUT;8
172;fontaine_de_trevi;32;2021;AOUT;8
230;pantheon;18;2021;AOUT;8
288;piazza_san_marco;15;2021;AOUT;8
346;pont_du_raltio;7;2021;AOUT;8
57;colisee;104;2021;SEPTEMBRE;9
115;doges;0;2021;SEPTEMBRE;9
173;fontaine_de_trevi;78;2021;SEPTEMBRE;9
231;pantheon;44;2021;SEPTEMBRE;9
289;piazza_san_marco;21;2021;SEPTEMBRE;9
347;pont_du_raltio;12;2021;SEPTEMBRE;9
